KT_Old_Accurate	KT_New_Accurate	KF_Old_Accurate	KF_New_Accurate	UT_Old_Accurate	UT_New_Accurate	UF_Old_Accurate	UF_New_Accurate	Imp1_2	Imp2_2	Imp3_2	Imp4_2	Condition	Random	Google	Random2	StartDate	EndDate	Finished	confirmCode	IDInst	Inst_Familiarity	Imp1_1	Imp2_1	Imp3_1	Imp4_1	Plau1_1	Plau2_1	Plau3_1	Plau4_1	True1_1	True2_1	True3_1	True4_1	True5_1	True6_1	True7_1	True8_1	True9_1	True10_1	False1_1	False2_1	False3_1	False4_1	False5_1	False6_1	False7_1	False8_1	False9_1	False10_1	Age	Sex	Education	English	Zipcode	PANAS	PANAS_1	PANAS_2	PANAS_3	PANAS_4	PANAS_5	PANAS_6	PANAS_7	PANAS_8	PANAS_9	PANAS_10	PANAS_11	PANAS_12	PANAS_13	PANAS_14	PANAS_15	PANAS_16	PANAS_17	PANAS_18	PANAS_19	PANAS_20	Inst_Accuracy	Plau1_2	Plau2_2	Plau3_2	Plau4_2	True1_2	True2_2	True3_2	True4_2	True5_2	True6_2	True7_2	True8_2	True9_2	True10_2	False1_2	False2_2	False3_2	False4_2	False5_2	False6_2	False7_2	False8_2	False9_2	False10_2	Comments	Length	LocationLatitude	LocationLongitude	LocationAccuracy
5.5	6	1	1	4.2	5	4.6	4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	70074	1	1	2	2	 	 	4	1	 	 	4	4	5	5	5	 	 	 	 	 	2	4	4	5	5	 	 	 	 	 	35	2	3	1	40503	1	4	1	2	1	1	1	1	1	1	2	1	4	1	2	2	4	4	2	2	1	1	5	6	6	6	5	5	3	4	4	5	6	4	5	5	4	5	5	4	5	4	2	4	5	5	 	7 and a half minutes	37.98869324	-84.47769928	-1
5	4.5	1	1	4.4	4	4	4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	877255	1	1	2	2	 	 	4	4	 	 	5	4	2	4	4	 	 	 	 	 	4	4	4	4	4	 	 	 	 	 	27	1	5	1	60089	1	3	1	2	1	3	1	1	1	2	2	2	3	1	3	1	3	3	1	2	1	1	5	5	4	5	5	4	4	5	4	5	4	4	4	3	4	4	4	4	4	2	4	5	4	5	 	10	41.99859619	-87.90280151	-1
5.5	6	1	1	4.8	4.2	3.2	3	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	696916	1	1	2	1	 	 	2	2	 	 	5	4	4	4	5	 	 	 	 	 	4	3	2	4	3	 	 	 	 	 	85	2	5	1	34275	1	5	1	3	1	5	1	1	1	4	5	1	5	1	2	1	5	5	1	4	1	1	5	6	6	6	5	4	5	5	5	6	6	2	5	2	3	5	2	3	3	2	1	4	5	3	--	did not keep track - had no interruptions	27.04069519	-82.35250092	-1
6	6	1	1	4.4	2.8	3.6	3.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	136080	1	1	1	1	 	 	1	1	 	 	6	4	5	4	6	 	 	 	 	 	5	4	5	5	5	 	 	 	 	 	27	1	5	1	6484	1	3	1	2	1	4	1	1	1	4	2	2	4	1	3	2	4	4	1	3	1	1	6	6	6	6	4	3	4	5	6	5	2	1	5	1	4	4	5	1	4	4	4	1	4	3	No	6-7 minutes	41.3157959	-73.13539886	-1
6	5.5	1	3.5	3.6	3	1.6	1.8	1	1	1	6	1	2	2	2	3/30/2017	3/30/2017	1	562961	1	1	4	4	 	 	2	3	 	 	5	4	4	5	4	 	 	 	 	 	2	2	2	4	4	 	 	 	 	 	31	2	5	1	37214	1	3	1	3	1	3	1	1	1	2	2	1	3	1	1	1	3	3	1	3	1	1	6	6	6	5	5	4	1	4	4	6	2	2	4	1	1	1	2	2	2	1	1	1	4	2	no	12 minutes	34.22050476	-77.87020111	-1
5.5	6	1	1	3.2	3.4	3	3.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	695761	1	1	2	2	 	 	2	1	 	 	4	1	4	4	4	 	 	 	 	 	2	4	5	5	3	 	 	 	 	 	32	2	3	1	55046	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	2	1	1	5	6	6	6	6	1	2	2	5	6	3	2	2	4	4	2	2	4	3	3	4	1	5	5	 	10 minutes	44.07769775	-93.50740051	-1
6	6	1	1	4.6	5.2	3	3.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	257291	1	1	5	5	 	 	2	2	 	 	4	3	5	5	5	 	 	 	 	 	3	4	4	5	4	 	 	 	 	 	34	1	5	1	22193	1	4	2	3	1	3	1	2	1	3	2	2	4	1	2	2	3	4	2	2	2	1	6	6	6	6	5	4	5	4	5	6	4	4	6	6	4	1	4	4	2	4	2	4	4	3	 	10 min	39.08000183	-76.78440094	-1
6	6	1	1	4.2	3.6	3.6	3.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	345567	1	1	6	6	 	 	1	1	 	 	4	3	6	4	5	 	 	 	 	 	1	4	3	4	4	 	 	 	 	 	32	2	5	1	43420	1	2	1	1	1	1	1	1	1	1	1	1	3	 	1	1	2	5	1	2	1	1	6	6	6	6	6	4	2	4	5	5	4	4	2	3	4	4	2	4	4	4	4	3	4	4	no	5 min	41.30279541	-82.94940186	-1
5.5	6	1	1	3.2	3.6	3.6	4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	818381	1	1	1	1	 	 	4	1	 	 	4	1	1	5	4	 	 	 	 	 	1	1	5	5	4	 	 	 	 	 	19	1	2	1	85120	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	6	6	6	4	1	3	4	4	6	4	3	4	1	4	4	1	4	5	4	4	4	4	4	 	7 minutes	33.46270752	-111.9856033	-1
6	6	1	1	3.2	3.6	1.8	3.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	173689	1	1	1	1	 	 	1	1	 	 	2	1	2	2	4	 	 	 	 	 	1	1	1	1	2	 	 	 	 	 	52	1	4	1	94521	1	1	2	1	3	4	1	1	2	2	5	3	4	1	1	1	5	5	2	4	1	1	6	6	6	6	5	5	1	3	2	6	6	1	1	4	2	2	2	2	1	5	4	5	1	2	"While a single elephant certainly weighs more than a single ant, my aunt ... well, that's debatable."	10 minutes.	37.77349854	-122.278801	-1
