Study	Warning	Fake_Old_Accurate	Fake_New_Accurate	Real_Old_Accurate	Real_New_Accurate	PC_Fake_Old_Accurate	PC_Fake_New_Accurate	PC_Real_Old_Accurate	PC_Real_New_Accurate	nPC_Fake_Old_Accurate	nPC_Fake_New_Accurate	nPC_Real_Old_Accurate	nPC_Real_New_Accurate	Fake_Old_Unfam_Accurate	Fake_New_Unfam_Accurate	Real_Old_Unfam_Accurate	Real_New_Unfam_Accurate	Fake_Old_Fam_Accurate	Fake_New_Fam_Accurate	Real_Old_Fam_Accurate	Real_New_Fam_Accurate	Fake_SocialMedia2	Real_SocialMedia2	Fake_Old_Knowledge	Fake_New_Knowledge	Real_Old_Knowledge	Real_New_Knowledge	Sensitivity_Old	Sensitivity_New	Fake_Old_Accuracy	Fake_New_Accuracy	Fake_SocialMedia	Real_SocialMedia	C_Fake_Old_Accurate	C_Fake_New_Accurate	C_Real_Old_Accurate	C_Real_New_Accurate	L_Fake_Old_Accurate	L_Fake_New_Accurate	L_Real_Old_Accurate	L_Real_New_Accurate	Fake_PC_FE	Fake_nPC_FE	Real_PC_FE	Real_nPC_FE	PC_Fake_Accurate	PC_Real_Accurate	nPC_Fake_Accurate	nPC_Real_Accurate	Sensitivity_PC	Sensitivity_nPC	ClintonTrump	ClintonTrump2	Conservatism	DemRep	NonVoters	Condition	Counterbalance	Random	Google	Skip	Age	Sex	Education	English	Party	Party_TEXT	Social_Conserv	Economic_Conserv	POTUS2016	Zipcode	StartDate	EndDate	Finished	confirmCode	IDInst	Inst_SocialMedia	Fake1_NW	Fake1_3	Fake1_RT_1	Fake1_RT_2	Fake1_RT_3	Fake1_RT_4	Fake2_NW	Fake2_3	Fake2_RT_1	Fake2_RT_2	Fake2_RT_3	Fake2_RT_4	Fake3_NW	Fake3_3	Fake3_RT_1	Fake3_RT_2	Fake3_RT_3	Fake3_RT_4	Fake4_NW	Fake4_3	Fake4_RT_1	Fake4_RT_2	Fake4_RT_3	Fake4_RT_4	Fake5_NW	Fake5_3	Fake5_RT_1	Fake5_RT_2	Fake5_RT_3	Fake5_RT_4	Fake6_NW	Fake6_3	Fake6_RT_1	Fake6_RT_2	Fake6_RT_3	Fake6_RT_4	Real1	Real1_3	Real1_RT_1	Real1_RT_2	Real1_RT_3	Real1_RT_4	Real2	Real2_3	Real2_RT_1	Real2_RT_2	Real2_RT_3	Real2_RT_4	Real3	Real3_3	Real3_RT_1	Real3_RT_2	Real3_RT_3	Real3_RT_4	Real4	Real4_3	Real4_RT_1	Real4_RT_2	Real4_RT_3	Real4_RT_4	Real5	Real5_3	Real5_RT_1	Real5_RT_2	Real5_RT_3	Real5_RT_4	Real6	Real6_3	Real6_RT_1	Real6_RT_2	Real6_RT_3	Real6_RT_4	Inst_Accuracy	Fake1_A	Fake1_1	Fake1_2	Fake1_A_RT_1	Fake1_A_RT_2	Fake1_A_RT_3	Fake1_A_RT_4	Fake2_A	Fake2_1	Fake2_2	Fake2_A_RT_1	Fake2_A_RT_2	Fake2_A_RT_3	Fake2_A_RT_4	Fake3_A	Fake3_1	Fake3_2	Fake3_A_RT_1	Fake3_A_RT_2	Fake3_A_RT_3	Fake3_A_RT_4	Fake4_A	Fake4_1	Fake4_2	Fake4_A_RT_1	Fake4_A_RT_2	Fake4_A_RT_3	Fake4_A_RT_4	Fake5_A	Fake5_1	Fake5_2	Fake5_A_RT_1	Fake5_A_RT_2	Fake5_A_RT_3	Fake5_A_RT_4	Fake6_A	Fake6_1	Fake6_2	Fake6_A_RT_1	Fake6_A_RT_2	Fake6_A_RT_3	Fake6_A_RT_4	Fake7_A	Fake7_1	Fake7_2	Fake7_A_RT_1	Fake7_A_RT_2	Fake7_A_RT_3	Fake7_A_RT_4	Fake8_A	Fake8_1	Fake8_2	Fake8_A_RT_1	Fake8_A_RT_2	Fake8_A_RT_3	Fake8_A_RT_4	Fake9_A	Fake9_1	Fake9_2	Fake9_A_RT_1	Fake9_A_RT_2	Fake9_A_RT_3	Fake9_A_RT_4	Fake10_A	Fake10_1	Fake10_2	Fake10_A_RT_1	Fake10_A_RT_2	Fake10_A_RT_3	Fake10_A_RT_4	Fake11_A	Fake11_1	Fake11_2	Fake11_A_RT_1	Fake11_A_RT_2	Fake11_A_RT_3	Fake11_A_RT_4	Fake12_A	Fake12_1	Fake12_2	Fake12_A_RT_1	Fake12_A_RT_2	Fake12_A_RT_3	Fake12_A_RT_4	Real1_A	Real1_1	Real1_2	Real1_A_RT_1	Real1_A_RT_2	Real1_A_RT_3	Real1_A_RT_4	Real2_A	Real2_1	Real2_2	Real2_A_RT_1	Real2_A_RT_2	Real2_A_RT_3	Real2_A_RT_4	Real3_A	Real3_1	Real3_2	Real3_A_RT_1	Real3_A_RT_2	Real3_A_RT_3	Real3_A_RT_4	Real4_A	Real4_1	Real4_2	Real4_A_RT_1	Real4_A_RT_2	Real4_A_RT_3	Real4_A_RT_4	Real5_A	Real5_1	Real5_2	Real5_A_RT_1	Real5_A_RT_2	Real5_A_RT_3	Real5_A_RT_4	Real6_A	Real6_1	Real6_2	Real6_A_RT_1	Real6_A_RT_2	Real6_A_RT_3	Real6_A_RT_4	Real7_A	Real7_1	Real7_2	Real7_RT_1.0	Real7_RT_2.0	Real7_RT_3.0	Real7_RT_4.0	Real8_A	Real8_1	Real8_2	Real8_A_RT_1	Real8_A_RT_2	Real8_A_RT_3	Real8_A_RT_4	Real9_A	Real9_1	Real9_2	Real9_A_RT_1	Real9_A_RT_2	Real9_A_RT_3	Real9_A_RT_4	Real10_A	Real10_1	Real10_2	Real10_A_RT_1	Real10_A_RT_2	Real10_A_RT_3	Real10_A_RT_4	Real11_A	Real11_1	Real11_2	Real11_A_RT_1	Real11_A_RT_2	Real11_A_RT_3	Real11_A_RT_4	Real12_A	Real12_1	Real12_2	Real12_A_RT_1	Real12_A_RT_2	Real12_A_RT_3	Real12_A_RT_4	Comments	Length	LocationLatitude	LocationLongitude	LocationAccuracy	Fake1_SM_logRT	Fake2_SM_logRT	Fake3_SM_logRT	Fake4_SM_logRT	Fake5_SM_logRT	Fake6_SM_logRT	Real1_SM_logRT	Real2_SM_logRT	Real3_SM_logRT	Real4_SM_logRT	Real5_SM_logRT	Real6_SM_logRT	Fake1_Acc_logRT	Fake2_Acc_logRT	Fake3_Acc_logRT	Fake4_Acc_logRT	Fake5_Acc_logRT	Fake6_Acc_logRT	Fake7_Acc_logRT	Fake8_Acc_logRT	Fake9_Acc_logRT	Fake10_Acc_logRT	Fake11_Acc_logRT	Fake12_Acc_logRT	Real1_Acc_logRT	Real2_Acc_logRT	Real3_Acc_logRT	Real4_Acc_logRT	Real5_Acc_logRT	Real6_Acc_logRT	Real8_Acc_logRT	Real9_Acc_logRT	Real10_Acc_logRT	Real11_Acc_logRT	Real12_Acc_logRT	Fake1_SocialMedia	Fake2_SocialMedia	Fake3_SocialMedia	Fake4_SocialMedia	Fake5_SocialMedia	Fake6_SocialMedia	Real1_SocialMedia	Real2_SocialMedia	Real3_SocialMedia	Real4_SocialMedia	Real5_SocialMedia	Real6_SocialMedia	Fake1_Knowledge	Fake2_Knowledge	Fake3_Knowledge	Fake4_Knowledge	Fake5_Knowledge	Fake6_Knowledge	Fake7_Knowledge	Fake8_Knowledge	Fake9_Knowledge	Fake10_Knowledge	Fake11_Knowledge	Fake12_Knowledge	Real1_Knowledge	Real2_Knowledge	Real3_Knowledge	Real4_Knowledge	Real5_Knowledge	Real6_Knowledge	Real7_Knowledge	Real8_Knowledge	Real9_Knowledge	Real10_Knowledge	Real11_Knowledge	Real12_Knowledge	Fake1_Accurate	Fake2_Accurate	Fake3_Accurate	Fake4_Accurate	Fake5_Accurate	Fake6_Accurate	Fake7_Accurate	Fake8_Accurate	Fake9_Accurate	Fake10_Accurate	Fake11_Accurate	Fake12_Accurate	Real1_Accurate	Real2_Accurate	Real3_Accurate	Real4_Accurate	Real5_Accurate	Real6_Accurate	Real7_Accurate	Real8_Accurate	Real9_Accurate	Real10_Accurate	Real11_Accurate	Real12_Accurate	Fake1_Unfamiliar	Fake1_Familiar	Fake2_Unfamiliar	Fake2_Familiar	Fake3_Unfamiliar	Fake3_Familiar	Fake4_Unfamiliar	Fake4_Familiar	Fake5_Unfamiliar	Fake5_Familiar	Fake6_Unfamiliar	Fake6_Familiar	Fake7_Unfamiliar	Fake7_Familiar	Fake8_Unfamiliar	Fake8_Familiar	Fake9_Unfamiliar	Fake9_Familiar	Fake10_Unfamiliar	Fake10_Familiar	Fake11_Unfamiliar	Fake11_Familiar	Fake12_Unfamiliar	Fake12_Familiar	Real1_Unfamiliar	Real1_Familiar	Real2_Unfamiliar	Real2_Familiar	Real3_Unfamiliar	Real3_Familiar	Real4_Unfamiliar	Real4_Familiar	Real5_Unfamiliar	Real5_Familiar	Real6_Unfamiliar	Real6_Familiar	Real7_Unfamiliar	Real7_Familiar	Real8_Unfamiliar	Real8_Familiar	Real9_Unfamiliar	Real9_Familiar	Real10_Unfamiliar	Real10_Familiar	Real11_Unfamiliar	Real11_Familiar	Real12_Unfamiliar	Real12_Familiar	Sensitivity2_Old	Sensitivity2_New	Fake_Old_Accuracy2	Fake_New_Accuracy2	Fake1_Knowledge2	Fake2_Knowledge2	Fake3_Knowledge2	Fake4_Knowledge2	Fake5_Knowledge2	Fake6_Knowledge2	Fake7_Knowledge2	Fake8_Knowledge2	Fake9_Knowledge2	Fake10_Knowledge2	Fake11_Knowledge2	Fake12_Knowledge2	Real1_Knowledge2	Real2_Knowledge2	Real3_Knowledge2	Real4_Knowledge2	Real5_Knowledge2	Real6_Knowledge2	Real7_Knowledge2	Real8_Knowledge2	Real9_Knowledge2	Real10_Knowledge2	Real11_Knowledge2	Real12_Knowledge2	Fake1_Unfamiliar2	Fake1_Familiar2	Fake2_Unfamiliar2	Fake2_Familiar2	Fake3_Unfamiliar2	Fake3_Familiar2	Fake4_Unfamiliar2	Fake4_Familiar2	Fake5_Unfamiliar2	Fake5_Familiar2	Fake6_Unfamiliar2	Fake6_Familiar2	Fake7_Unfamiliar2	Fake7_Familiar2	Fake8_Unfamiliar2	Fake8_Familiar2	Fake9_Unfamiliar2	Fake9_Familiar2	Fake10_Unfamiliar2	Fake10_Familiar2	Fake11_Unfamiliar2	Fake11_Familiar2	Fake12_Unfamiliar2	Fake12_Familiar2	Real1_Unfamiliar2	Real1_Familiar2	Real2_Unfamiliar2	Real2_Familiar2	Real3_Unfamiliar2	Real3_Familiar2	Real4_Unfamiliar2	Real4_Familiar2	Real5_Unfamiliar2	Real5_Familiar2	Real6_Unfamiliar2	Real6_Familiar2	Real7_Unfamiliar2	Real7_Familiar2	Real8_Unfamiliar2	Real8_Familiar2	Real9_Unfamiliar2	Real9_Familiar2	Real10_Unfamiliar2	Real10_Familiar2	Real11_Unfamiliar2	Real11_Familiar2	Real12_Unfamiliar2	Real12_Familiar2	Fake1_SocialMedia2	Fake2_SocialMedia2	Fake3_SocialMedia2	Fake4_SocialMedia2	Fake5_SocialMedia2	Fake6_SocialMedia2	Real1_SocialMedia2	Real2_SocialMedia2	Real3_SocialMedia2	Real4_SocialMedia2	Real5_SocialMedia2	Real6_SocialMedia2	Fake1_Accurate_SMno	Fake2_Accurate_SMno	Fake3_Accurate_SMno	Fake4_Accurate_SMno	Fake5_Accurate_SMno	Fake6_Accurate_SMno	Fake7_Accurate_SMno	Fake8_Accurate_SMno	Fake9_Accurate_SMno	Fake10_Accurate_SMno	Fake11_Accurate_SMno	Fake12_Accurate_SMno	Real1_Accurate_SMno	Real2_Accurate_SMno	Real3_Accurate_SMno	Real4_Accurate_SMno	Real5_Accurate_SMno	Real6_Accurate_SMno	Real7_Accurate_SMno	Real8_Accurate_SMno	Real9_Accurate_SMno	Real10_Accurate_SMno	Real11_Accurate_SMno	Real12_Accurate_SMno	Fake1_Accurate_SMyes	Fake2_Accurate_SMyes	Fake3_Accurate_SMyes	Fake4_Accurate_SMyes	Fake5_Accurate_SMyes	Fake6_Accurate_SMyes	Fake7_Accurate_SMyes	Fake8_Accurate_SMyes	Fake9_Accurate_SMyes	Fake10_Accurate_SMyes	Fake11_Accurate_SMyes	Fake12_Accurate_SMyes	Real1_Accurate_SMyes	Real2_Accurate_SMyes	Real3_Accurate_SMyes	Real4_Accurate_SMyes	Real5_Accurate_SMyes	Real6_Accurate_SMyes	Real7_Accurate_SMyes	Real8_Accurate_SMyes	Real9_Accurate_SMyes	Real10_Accurate_SMyes	Real11_Accurate_SMyes	Real12_Accurate_SMyes	Fake1_Knowledge_SMno	Fake2_Knowledge_SMno	Fake3_Knowledge_SMno	Fake4_Knowledge_SMno	Fake5_Knowledge_SMno	Fake6_Knowledge_SMno	Fake7_Knowledge_SMno	Fake8_Knowledge_SMno	Fake9_Knowledge_SMno	Fake10_Knowledge_SMno	Fake11_Knowledge_SMno	Fake12_Knowledge_SMno	Real1_Knowledge_SMno	Real2_Knowledge_SMno	Real3_Knowledge_SMno	Real4_Knowledge_SMno	Real5_Knowledge_SMno	Real6_Knowledge_SMno	Real7_Knowledge_SMno	Real8_Knowledge_SMno	Real9_Knowledge_SMno	Real10_Knowledge_SMno	Real11_Knowledge_SMno	Real12_Knowledge_SMno	Fake1_Knowledge_SMyes	Fake2_Knowledge_SMyes	Fake3_Knowledge_SMyes	Fake4_Knowledge_SMyes	Fake5_Knowledge_SMyes	Fake6_Knowledge_SMyes	Fake7_Knowledge_SMyes	Fake8_Knowledge_SMyes	Fake9_Knowledge_SMyes	Fake10_Knowledge_SMyes	Fake11_Knowledge_SMyes	Fake12_Knowledge_SMyes	Real1_Knowledge_SMyes	Real2_Knowledge_SMyes	Real3_Knowledge_SMyes	Real4_Knowledge_SMyes	Real5_Knowledge_SMyes	Real6_Knowledge_SMyes	Real7_Knowledge_SMyes	Real8_Knowledge_SMyes	Real9_Knowledge_SMyes	Real10_Knowledge_SMyes	Real11_Knowledge_SMyes	Real12_Knowledge_SMyes	Fake_Old_Accurate_SMno	Real_Old_Accurate_SMno	Fake_Old_Accurate_SMyes	Real_Old_Accurate_SMyes	Fake_Old_Knowledge_SMno	Real_Old_Knowledge_SMno	Fake_Old_Knowledge_SMyes	Real_Old_Knowledge_SMyes	Fake1_Unfamiliar_Acc2	Fake1_Familiar_Acc2	Fake2_Unfamiliar_Acc2	Fake2_Familiar_Acc2	Fake3_Unfamiliar_Acc2	Fake3_Familiar_Acc2	Fake4_Unfamiliar_Acc2	Fake4_Familiar_Acc2	Fake5_Unfamiliar_Acc2	Fake5_Familiar_Acc2	Fake6_Unfamiliar_Acc2	Fake6_Familiar_Acc2	Fake7_Unfamiliar_Acc2	Fake7_Familiar_Acc2	Fake8_Unfamiliar_Acc2	Fake8_Familiar_Acc2	Fake9_Unfamiliar_Acc2	Fake9_Familiar_Acc2	Fake10_Unfamiliar_Acc2	Fake10_Familiar_Acc2	Fake11_Unfamiliar_Acc2	Fake11_Familiar_Acc2	Fake12_Unfamiliar_Acc2	Fake12_Familiar_Acc2	Real1_Unfamiliar_Acc2	Real1_Familiar_Acc2	Real2_Unfamiliar_Acc2	Real2_Familiar_Acc2	Real3_Unfamiliar_Acc2	Real3_Familiar_Acc2	Real4_Unfamiliar_Acc2	Real4_Familiar_Acc2	Real5_Unfamiliar_Acc2	Real5_Familiar_Acc2	Real6_Unfamiliar_Acc2	Real6_Familiar_Acc2	Real7_Unfamiliar_Acc2	Real7_Familiar_Acc2	Real8_Unfamiliar_Acc2	Real8_Familiar_Acc2	Real9_Unfamiliar_Acc2	Real9_Familiar_Acc2	Real10_Unfamiliar_Acc2	Real10_Familiar_Acc2	Real11_Unfamiliar_Acc2	Real11_Familiar_Acc2	Real12_Unfamiliar_Acc2	Real12_Familiar_Acc2	Fake_Old_Accurate2	Fake_New_Accurate2	Real_Old_Accurate2	Real_New_Accurate2	Fake_Old_Accurate3	Fake_New_Accurate3	Real_Old_Accurate3	Real_New_Accurate3	C_Fake_SocialMedia	C_Real_SocialMedia	L_Fake_SocialMedia	L_Real_SocialMedia	PC_Fake_SocialMedia	PC_Real_SocialMedia	nPC_Fake_SocialMedia	nPC_Real_SocialMedia
1	1	2.5	2.333333333	3.5	2.5	4	2.333333333	4	3	1	2.333333333	3	2	1	2	1	1	4	4	4	4	0.666666667	0.166666667	0.5	0.166666667	0.833333333	0.5	0.333333333	0.166666667	0.5	0.666666667	0.666666667	0.166666667	1	2.333333333	3	2	4	2.333333333	4	3	1.666666667	-1.333333333	1	1	3.166666667	3.5	1.666666667	2.5	0.333333333	0.833333333	1	 	5	1	0	1	1	2	2	2	53	2	4	1	1	 	5	5	3	44691	1/16/2017	1/16/2017	1	112320	1	1	1	2	14.467	14.467	15.457	1	1	4	8.319	8.319	8.958	1	1	4	6.105	6.105	6.928	1	1	2	6.899	6.899	7.938	1	1	4	8.214	8.214	9.611	1	1	4	9.24	9.24	10.154	1	1	2	12.261	12.261	13.194	1	1	2	7.692	7.692	8.978	1	1	2	7.046	7.046	8.317	1	1	4	10.092	10.092	13.161	1	1	2	7.3	7.3	7.969	1	1	2	7.21	7.21	8.415	1	1	1	1	1	3.857	6.328	7.036	2	1	1	1	11.284	17.636	18.313	3	1	1	1	5.86	7.97	9.167	2	1	3	4	7.383	9.79	10.237	2	1	3	4	15.184	17.718	18.175	2	1	3	4	6.636	8.615	9.004	2	1	1	1	9.696	11.801	12.452	2	1	3	4	7.411	8.977	9.356	2	1	1	2	10.555	13.396	14.623	2	1	1	4	12.909	14.523	14.929	2	1	2	2	11.085	13.882	15.238	2	1	1	1	10.082	12.799	13.728	3	1	1	1	13.824	16.287	19.307	2	1	3	4	7.353	9.084	10.283	2	1	3	4	5.91	8.165	8.58	2	1	3	4	6.614	8.626	8.992	2	1	3	4	6.212	7.592	7.985	2	1	3	4	8.216	9.869	10.247	2	1	3	4	5.395	7.436	7.846	2	1	1	1	8.013	11.537	12.236	2	1	1	1	16.4	18.511	19.694	2	1	3	4	6.102	8.23	8.605	2	1	1	1	8.352	12.482	13.889	2	1	3	4	5.613	8.017	8.5	2	 	15 minutes	40.769104	-82.53829956	-1	1.189125207	0.952211058	0.840607879	0.899711095	0.982768577	1.006637159	1.12037648	0.953179601	0.919966701	1.119288889	0.901403827	0.92505412	0.847325831	1.262759495	0.962227231	1.010172703	1.25947442	0.954435486	1.095239112	0.971090213	1.16503648	1.174030718	1.182927969	1.137607271	1.285714797	1.012119836	0.933487288	0.953856298	0.90227492	1.010596736	1.087639468	1.294333934	0.934750875	1.142670978	0.929418926	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	 	0	 	0	 	 	1	 	1	 	1	0	 	 	1	0	 	1	 	0	 	0	 	0	 	 	1	 	1	 	1	 	1	 	1	 	1	0	 	0	 	 	1	0	 	 	1	1	0.166666667	-1.5	-1.333333333	0	0	0	1	1	1	0	1	0	0	 	0	0	1	1	1	1	1	1	0	0	1	0	1	0	 	0	 	0	 	 	1	 	1	 	1	0	 	 	1	0	 	1	 	 	 	0	 	0	 	 	1	 	1	 	1	 	1	 	1	 	1	0	 	0	 	 	1	0	 	 	1	0	1	1	0	1	1	0	0	0	1	0	0	0	 	 	1	 	 	 	 	 	 	 	 	0	1	1	 	1	1	 	 	 	 	 	 	 	0	0	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	0	 	 	1	 	 	 	 	 	 	 	 	0	1	1	 	1	1	 	 	 	 	 	 	 	0	0	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	0.5	0.8	0.5	1	0.5	0.8	0.5	1	1	 	1	 	1	 	 	4	 	4	 	4	1	 	 	4	2	 	4	 	2	 	1	 	1	 	 	4	 	4	 	4	 	4	 	4	 	4	1	 	1	 	 	4	1	 	 	4	0.5	0.333333333	0.833333333	0.5	3	2	5	3	0.666666667	0	0.666666667	0.333333333	0.666666667	0.333333333	0.666666667	0
2	1	1	1.833333333	1.833333333	1.833333333	1	2.666666667	2.333333333	2.666666667	1	1	1.333333333	1	1	1.4	1.4	1.6	 	4	4	3	0	0	0	0.166666667	0.166666667	0.166666667	0.166666667	0	1	0.666666667	0.166666667	0.166666667	1	2.666666667	2.333333333	2.666666667	1	1	1.333333333	1	-1.666666667	0	-0.333333333	0.333333333	1.833333333	2.5	1	1.166666667	0.666666667	0.166666667	2	 	5	 	0	1	1	2	2	2	31	1	5	1	3	 	5	5	3	75702	2/3/2017	2/3/2017	1	497950	1	1	1	2	27.944	31.281	32.68	2	1	2	210.843	210.843	216.742	1	1	3	8.92	8.92	11.902	1	1	2	6.405	6.405	8.86	1	1	2	6.415	6.415	8.732	1	1	2	7.204	7.204	12.276	1	1	2	8.653	8.653	13	1	1	2	6.542	6.542	8.192	1	1	2	3.196	3.196	5.776	1	1	3	48.433	48.433	50.034	1	1	2	4.237	4.237	5.72	1	1	2	10.508	10.508	12.675	1	1	1	1	1	4.223	5.725	7.065	2	1	1	1	4.601	6.836	8.695	2	1	1	1	3.439	5.918	7.301	2	1	1	1	2.664	5.903	9.869	3	1	1	1	7.281	10.166	11.538	2	1	1	1	4.265	8.769	10.09	2	1	1	3	8.264	12.727	15.11	3	1	3	4	5.104	6.579	8.791	2	1	1	1	6.429	8.833	10.001	2	1	1	1	9.343	13.323	14.693	3	1	1	1	7.889	10.895	12.272	2	1	1	1	5.142	6.849	8.142	2	1	1	1	4.757	6.485	7.961	2	1	1	2	6.501	8.017	10.099	2	1	3	4	6.481	8.726	10.529	2	1	1	1	4.95	7.473	8.943	2	1	1	2	10.054	13.15	14.518	2	1	1	1	6.89	8.764	10.372	2	1	2	2	5.29	9.702	11.308	3	1	3	3	7.068	11.619	15.267	2	1	2	3	7.286	10.501	12.246	2	1	1	1	7.606	9.179	11.211	2	1	1	1	5.083	6.736	8.19	2	1	1	1	4.381	8.247	9.844	2	No	10 minutes	32.23129272	-95.29579926	-1	1.514282048	2.335943077	1.075619946	0.947433722	0.941113727	1.08905688	1.113943352	0.913389944	0.761627185	1.699265224	0.757396029	1.102947968	0.849112166	0.939269586	0.863382348	0.994273149	1.062130535	1.003891166	1.179264464	0.94403828	1.000043427	1.167110479	1.088915347	0.910731098	0.900967624	1.004278372	1.022387126	0.951483231	1.161906792	1.015862508	1.183753706	1.087994255	1.049644353	0.913283902	0.993171605	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	1	 	 	1	0	 	0	 	0	 	0	 	0	 	0	 	 	1	0	 	0	 	0	 	0	 	 	1	1	 	0	 	0	 	0	 	0.833333333	0	0	-0.833333333	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	 	1	 	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	1	 	 	1	0	 	0	 	0	 	0	 	0	 	0	 	 	1	0	 	0	 	0	 	 	 	 	1	 	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	 	 	 	 	 	 	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0.166666667	 	 	0	0.166666667	 	 	1	 	1	 	1	 	1	 	1	 	1	 	3	 	 	4	1	 	1	 	1	 	1	 	1	 	2	 	 	4	1	 	2	 	1	 	2	 	 	3	3	 	1	 	1	 	1	 	0	0.333333333	0.166666667	0.333333333	0	2	1	2	0.333333333	0	0	0.333333333	0.333333333	0	0	0.333333333
